contamination,n_flagues,taux_defaut_outliers,taux_defaut_conserves
0.01,240,0.2875,0.22053872053872053
0.05,1200,0.29833333333333334,0.21714912280701754
0.1,2400,0.31416666666666665,0.21087962962962964
