model,n_trials,random_search_3fold,optuna_3fold_at_20,optuna_3fold_best,oof_pr_auc,oof_roc_auc,seconds
xgboost,100,0.5641,0.5661596318732721,0.5671134118420448,0.566735389943194,0.789162817943137,1699.1716575622559
lightgbm,100,0.5647,0.5641620221275185,0.5661734767403137,0.5660475996989385,0.7892942190496858,623.6348922252655
