trial,value,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma
0,0.5171013337538323,4,0.2536999076681772,713,0.8394633936788146,0.4936111842654619,4,0.1360354613611808,1.599409170128044,3.005575058716044
1,0.5623759291247304,6,0.010725209743171996,879,0.9329770563201687,0.5274034664069657,4,0.26425260575499165,0.01334697757417809,2.6237821581611893
2,0.5579188224143535,5,0.02692655251486473,628,0.6557975442608167,0.5752867891211308,8,1.120548642504815,0.8023102291340046,0.9983689107917987
3,0.5595760857609323,5,0.07500118950416987,232,0.8430179407605753,0.502314474212375,2,15.255065745117381,3.7311604524743114,4.041986740582305
4,0.5631318720911458,4,0.013940346079873234,679,0.7760609974958406,0.47322294090686734,10,0.11998556988857204,2.3096644596472733,1.2938999080000846
5,0.5613750563896653,6,0.028869220380495747,564,0.8186841117373118,0.5109126733153162,20,6.0758057027616355,2.9866092370009407,4.474136752138244
6,0.5151471409367538,6,0.22999586428143728,262,0.6783931449676581,0.4271363733463229,7,0.7840758945457351,0.010085836630992925,4.143687545759647
7,0.5611272553559402,4,0.026000059117302653,580,0.6563696899899051,0.8813181884524238,2,18.65762858779244,0.7186380986530762,0.993578407670862
8,0.5427493431263103,2,0.1601531217136121,695,0.8916028672163949,0.8627622080115674,2,0.6680983417211186,0.002682848665467022,4.315517129377968
9,0.5628102939146683,6,0.030816017044468066,244,0.7243929286862649,0.5951099932160482,15,2.931155546232916,1.9132570498012023,2.3610746258097466
10,0.5551140308616375,2,0.02629672855403165,744,0.8389810263561684,0.4513808301833317,7,0.10428487559461945,0.0035927442007211625,1.23035900227597
11,0.5629377665238339,4,0.017858244015071405,739,0.6726747813917328,0.4957586407131384,17,0.13137908670262807,4.184349844693079,2.578869795449171
12,0.5599463653750569,5,0.02104554184060529,652,0.7247162783500926,0.4470194166175819,19,0.17235909361788765,0.3671139741689317,3.10554627169167
13,0.5606125481113181,5,0.0240987327486555,589,0.7599119573417611,0.6956457003594232,14,0.1697742823068625,0.4314985859192861,2.831847894965933
14,0.5649132332322327,4,0.011193642009978695,615,0.8491092933845441,0.5919574054749813,9,0.34662313780438136,1.9072352827902808,0.7745036576778986
15,0.5598450898442041,5,0.028293732109559575,474,0.8306381960737388,0.5711021216520088,10,0.11114428251486552,0.7163275456751672,0.9697321228473661
16,0.5661596318732721,4,0.010090221274856283,565,0.8292673904767153,0.5788114026655772,6,0.2214281147582313,1.3765470879541515,0.9029892447128747
17,0.5629999639397713,5,0.016768829713211364,598,0.8863055169439656,0.7074179516271423,3,0.5995214825995644,1.7940415195628951,1.1517264909946014
18,0.5648136852593032,4,0.010849735422820913,533,0.8511670209853103,0.5879655674819455,12,0.6477640484345455,0.854822559223509,1.2458112484511934
19,0.5653713828790458,5,0.01041942372526895,691,0.8608247476054708,0.6310128121146678,5,0.37307436888120155,0.4508208178782654,0.6923491061136285
20,0.5625236799321486,4,0.015198962394704623,653,0.7333498104555589,0.6144105571375595,3,0.11903667357233302,1.0807020653556443,0.5503201740317943
21,0.5657889739000824,4,0.01021331230692213,883,0.8725036287194634,0.6040504588659943,3,0.31701339290551817,1.1616877761682365,1.0416194445270768
22,0.5603875133191903,3,0.023408431413495173,652,0.8776023607370796,0.5526458564343131,4,0.243156376077298,0.3174957010861139,0.8650355676511632
23,0.5638343527685677,4,0.011511037521343765,863,0.7985881815407246,0.5519300289754597,4,0.5095364639224064,0.47459056271745265,0.922433614638931
24,0.558013336221851,5,0.020675285618409332,894,0.914585632889502,0.5330255167429808,3,0.16152840806814225,0.31877476149503886,1.0385794442885854
25,0.5642191100484365,5,0.014149803255963767,696,0.8953294179804316,0.5021495231944886,6,0.21871097909496415,2.546839804846224,0.10272387020886597
26,0.5622777042505249,3,0.011111505383335921,850,0.886573905987131,0.6823978652785583,5,0.1884660195190538,2.3781394675568324,1.1945589065822177
27,0.5619113470412125,3,0.0171712778227624,781,0.8834063762900228,0.6107577431547416,5,0.29721471900743457,1.316499802652507,0.05787250568978464
28,0.5555308446010581,2,0.013756840571786205,559,0.8578261781242202,0.6192213510829313,7,0.37252972444441235,0.6355799269904545,1.1467063665067814
29,0.5605840432420949,5,0.022413896808446507,624,0.8674585484383615,0.6570769965915096,2,0.3917800339098905,0.2885224688564497,0.5214813440208363
30,0.565289393438105,4,0.010747024726310086,749,0.9567957969164125,0.5137952055315745,4,0.21148462007265653,0.5089517149214083,0.29160868667768336
31,0.5612405347771438,5,0.015615423185644291,833,0.8600348672189033,0.7038244567695052,4,0.2804372213261391,1.139931188899981,0.9024889802562596
32,0.5653304466971241,4,0.011955505714938124,536,0.8604391334498119,0.6974993982153823,5,0.18255182827561908,0.31764715286367096,0.7940389825168461
33,0.5665903210986164,5,0.012457658197548217,618,0.8473817650651498,0.5032565686383319,2,0.2577188712315621,1.724522846716389,1.2363719244523845
