ratio_FN_FP,seuil,cost,recall,precision,clients_flagues,pct_portefeuille
2,0.63,7161,0.5232623846298738,0.5696124666803363,4877,0.20320833333333332
3,0.53,9484,0.6131098135242041,0.49490649232172723,6577,0.2740416666666667
5,0.37,12984,0.8044829534752307,0.353999171156237,12065,0.5027083333333333
10,0.245,16226,0.938029760783575,0.27796383121232415,17916,0.7465
20,0.16,18109,0.9856846863816161,0.23980386765649345,21822,0.90925
