features,n_features,pr_auc,pr_auc_std,roc_auc,roc_auc_std
A. Brut seul (23 feat.),23,0.5478957790436353,0.009263348399570158,0.7710651463176978,0.009040789927623812
B. FE v1 seul = notebook (23 feat.),23,0.5523635617288123,0.004696234147786651,0.7751601564100623,0.006458587683239734
C. Brut + FE v1 (38 feat.),38,0.5517102387638169,0.006457422548508784,0.7754361535548965,0.005096796074400571
D. Brut + FE v2 corrige (68 feat.),68,0.5488032548430106,0.01029304604576682,0.7738011497292384,0.006154673676888507
